x,PDF_-5,PDF_-4,PDF_-3,PDF_-2,PDF_-1,PDF_1,PDF_2,PDF_3,PDF_4,PDF_5
1e-05,17.115748325470086,18.263351740108465,18.904595023805634,18.881603572158312,18.949244992481226,18.959112038705648,18.896191684881217,18.904120268142833,18.263668715142156,17.11584459203138
1.1233240329780266e-05,16.282961363699513,17.371593952478385,17.989890992054328,17.97071858256441,18.035346422595566,18.045662141924815,17.986041877471788,17.98941318187052,17.371919208085586,16.283060108822035
1.2618568830660211e-05,15.490838384183174,16.52507765133758,17.122202106643545,17.10691830043172,17.16847751225167,17.179261983670983,17.12301250819269,17.121719769584615,16.52541114656279,15.49093969938114
1.4174741629268048e-05,14.737815272829096,15.721986721315579,16.299672595126403,16.28834594009239,16.346784678962667,16.358058472540158,16.3052491074789,16.29918418573566,15.722328358083585,14.737919192350892
1.5922827933410938e-05,14.01802939343294,14.955609714967434,15.515423749776193,15.50812645087475,15.563400136311694,15.57518594818962,15.525883209536495,15.514927153337592,14.955959271236312,14.01813587502243
1.788649529057435e-05,13.331508603772873,14.226009226983134,14.769586984325969,14.766394375111387,14.818453383169297,14.830773266472567,14.785048774400007,14.769080137272036,14.226366495458073,13.331617636249504
2.0092330025650458e-05,12.678940734377653,13.533947553018978,14.062888561950363,14.063872972937716,14.112670925624231,14.125547201878524,14.083468740466936,14.062369427865718,13.534312329365587,12.679052290408638
2.2570197196339216e-05,12.055453106933504,12.873762795655729,13.389342047604622,13.39457026890568,13.440080486609455,13.453538970542438,13.415158108008868,13.388807984819756,12.874134733892745,12.055567011839887
2.5353644939701114e-05,11.459278638034421,12.243414104071066,12.746927995144505,12.75647026265488,12.798665910199276,12.812733445501962,12.778102730934695,12.746376235140199,12.243792829780963,11.459394617970347
2.848035868435799e-05,10.892415725478665,11.645222969958425,12.13809447624259,12.152023042387535,12.190869547985377,12.205571556849314,12.174749868194873,12.137522494386209,11.6456081657415,10.892533569172251
3.199267137797385e-05,10.3510426217146,11.074701137157183,11.557567655185752,11.575929601269575,11.611435709211772,11.626801261656421,11.599808562942918,11.556972098435159,11.075092286969117,10.351162176917132
3.5938136638046256e-05,9.83257579599891,10.528817314303257,11.001766140834576,11.024595549660766,11.05679479709831,11.07285525103312,11.049689445006802,11.001143070888432,10.529213761364588,9.832696969196817
4.037017258596558e-05,9.339179833071517,10.010115678226047,10.473633085913718,10.500983050010635,10.52987930014843,10.546663736162898,10.52734963217847,10.472978985764342,10.010516866133276,9.339302529736804
4.534878508128582e-05,8.868185660772212,9.515450874946312,9.969645789225018,10.001530931926768,10.02718111524307,10.0447220892168,10.029235727811294,9.968956750213746,9.515856155988457,8.868309698413341
5.0941380148163754e-05,8.416823603022968,9.04155803876456,9.486095716871183,9.522496879020702,9.545006213717334,9.5633397140385,9.551612997367435,9.485367368299796,9.041966676492104,8.416948719877483
5.72236765935022e-05,7.986767793631913,8.590398718994308,9.025020078741736,9.065959958480864,9.085380688640198,9.104540217822231,9.096554527901807,9.0242481280611,8.590810089856989,7.986893769299373
6.428073117284319e-05,7.5764748808723805,8.160177297976126,8.58475887010717,8.630198710089177,8.646657289537782,8.666679080295475,8.66234586268071,8.583939167278333,8.160590611128168,7.576601463812275
7.220809018385456e-05,7.183385818519723,7.747905346395525,8.16239877550122,8.212214644103083,8.2259426695995,8.24686712358066,8.245998961708086,8.161527253850942,7.748319580553868,7.183512700800367
8.111308307896872e-05,6.808378141891236,7.354568832507635,7.758907547237007,7.813004961510616,7.824211654624201,7.846076943058623,7.8485058766102425,7.757980194459658,7.354983061464904,6.8085050424322
9.111627561154887e-05,6.4508919803754825,6.979566469042652,7.373690124526214,7.431955640723874,7.440854711853972,7.463701001887769,7.469256991394018,7.372702834284235,6.979979694447233,6.451018595589825
0.00010235310218990269,6.108761887721073,6.6204619255147374,7.004355770630687,7.066603296765242,7.073464837137368,7.097337731478325,7.105801494283007,7.003304309503068,6.620872915771757,6.108887848403504
0.00011497569953977356,5.7819993552824185,6.277242312361138,6.650870334907456,6.716910250880205,6.722037591228923,6.746981944419422,6.758100290800684,6.649750565300653,6.277649852100285,5.7821243043459445
0.0001291549665014884,5.470857460961023,5.950213490030045,6.313551546732977,6.383205924911099,6.386868365975419,6.412928985842605,6.426482437094313,6.312359268052693,5.950616378878128,5.470981039357373
0.000145082877849594,5.173533140662627,5.637417255639352,5.990536491902607,6.063577587352047,6.0659999064332695,6.093228088534185,6.109049349883913,5.989267138229084,5.63781405813903,5.173654902605919
0.00016297508346206434,4.889385051874333,5.338135515502139,5.6811472156168605,5.757323072191865,5.758714102760945,5.787162965549287,5.805102591396443,5.6797961164652815,5.338524725291192,4.88950451962109
0.0001830738280295368,4.6191520858626465,5.053171747493538,5.38614785390326,5.46522723478552,5.465814060930949,5.495534086924855,5.515421280208301,5.384710487308852,5.053551953950816,4.619268817266111
0.00020565123083486514,4.36137218353149,4.7810204383266335,5.104086318663512,5.185822373748325,5.185796385229938,5.2168451683565396,5.238554166516791,5.102557769536519,4.781389991670629,4.361485670331665
0.0002310129700083158,4.115075234192562,4.520677611143124,4.834004354613358,4.918128153330921,4.917659914192535,4.950099478402364,4.9735308088722805,4.8323794598930325,4.521034690141457,4.11518492002355
0.00025950242113997375,3.8811126607062025,4.273016032021957,4.5767568935934095,4.662993361355319,4.662278169997477,4.696166067471083,4.721189187862819,4.57503073338554,4.273358935407465,3.881218022022755
