x,PDF
1e-05,3.8720510656528218
1.1233240329780266e-05,3.68823933721413
1.2618568830660211e-05,3.5175303263837
1.4174741629268048e-05,3.3593600871250837
1.5922827933410938e-05,3.211733599214335
1.788649529057435e-05,3.074590618485655
2.0092330025650458e-05,2.948222256464916
2.2570197196339216e-05,2.8311605260671753
2.5353644939701114e-05,2.7231938255337313
2.848035868435799e-05,2.6249091737409307
3.199267137797385e-05,2.533930607248274
3.5938136638046256e-05,2.448785984762697
4.037017258596558e-05,2.3709598781402796
4.534878508128582e-05,2.2981568099196914
5.0941380148163754e-05,2.227979482127295
5.72236765935022e-05,2.1614160878344455
6.428073117284319e-05,2.0980472436156083
7.220809018385456e-05,2.0368123183987947
8.111308307896872e-05,1.977948545687087
9.111627561154887e-05,1.9213950481351165
0.00010235310218990269,1.8665556299225705
0.00011497569953977356,1.8134248612329429
0.0001291549665014884,1.762079450980738
0.000145082877849594,1.712046412071637
0.00016297508346206434,1.6630956281838494
0.0001830738280295368,1.6154238289449137
0.00020565123083486514,1.568883708461493
0.0002310129700083158,1.5233590900212097
0.00025950242113997375,1.478918890805502
0.0002915053062825176,1.435530738652227
0.00032745491628777284,1.3931542434233688
0.0003678379771828634,1.351819234670773
0.00041320124001153346,1.311492436392357
0.0004641588833612782,1.2721224464298402
0.0005214008287999684,1.2337173049153152
0.0005857020818056667,1.196278740184944
0.0006579332246575682,1.1597860941191285
0.0007390722033525775,1.1242430852461347
0.0008302175681319744,1.0896491752081883
0.0009326033468832199,1.0559773205260274
0.001047615752789665,1.0232129731811959
0.0011768119524349979,0.9913674467084255
0.0013219411484660286,0.9604376289850252
0.001484968262254465,0.9304201757900945
0.0016681005372000592,0.9013158162959303
0.001873817422860383,0.8731274873585481
0.00210490414451202,0.845858232993719
0.002364489412645407,0.8195093048865981
0.0026560877829466868,0.7940762511781865
0.0029836472402833404,0.7695537934179316
0.003351602650938841,0.7459371836582808
0.0037649358067924675,0.7232341429292386
0.0042292428743894986,0.7014558284210889
0.0047508101621027985,0.6805936299093199
0.005336699231206307,0.660653239571253
0.005994842503189409,0.6416672682072139
0.006734150657750821,0.6236362866950256
0.007564633275546291,0.6065474481952944
0.008497534359086439,0.5904693004131907
0.009545484566618337,0.5754769718445065
0.010722672220103232,0.561572853771876
0.012045035402587823,0.5486330548331343
0.013530477745798061,0.5365500371914459
0.01519911082952933,0.5254059156960588
0.017073526474706904,0.5151067347217944
0.019179102616724886,0.5055138462655786
0.021544346900318846,0.49675585157042634
0.02420128264794381,0.48869271531768366
0.027185882427329403,0.4810140093192013
0.030538555088334154,0.473751101520178
0.03430469286314919,0.4669159547690299
0.03853528593710527,0.4601690335135652
0.04328761281083057,0.4534215993140205
0.04862601580065353,0.4468112918823334
0.05462277217684343,0.4399404967719493
0.061359072734131694,0.43255107037882107
0.06892612104349695,0.42487798048259146
0.0774263682681127,0.4165969090301648
0.08697490026177834,0.4072898150112259
0.09770099572992247,0.3964335937548348
0.10974987654930568,0.38387955840520627
0.12328467394420659,0.36927981831256534
0.13848863713938717,0.35220651358923855
0.15556761439304723,0.33236547264142247
0.1747528400007683,0.30958343060856663
0.19630406500402725,0.2837841766018496
0.22051307399030456,0.25524972571608184
0.2477076355991709,0.22417112423333882
0.2782559402207126,0.1910811233249973
0.31257158496882353,0.15726528401990528
0.3511191734215127,0.12395277286320606
0.3944206059437656,0.09305354009137115
0.44306214575838776,0.06628919354292981
0.49770235643321137,0.04353931088171473
0.5590810182512223,0.026335577615098513
0.6280291441834247,0.014757508575008047
0.7054802310718645,0.007248299413943005
0.7924828983539169,0.0024394061376829816
0.8902150854450392,0.0004078487184529931
1.0,1.5613507410615257e-21
