timestamp,sqrts0,mh2,mhc,log10_f4mean,log10_norma_pb
Wed 22 Oct 2025 14:43:21,1000.,230.,800.,-5.723466748063952,-10.93663463761871
Wed 22 Oct 2025 14:43:51,1000.,240.,800.,-5.672629943798583,-10.94487268634093
Wed 22 Oct 2025 14:44:21,1000.,250.,800.,-5.645554681616606,-10.9345061505588
Wed 22 Oct 2025 14:44:50,1000.,260.,800.,-5.622225302954995,-10.93225224362352
Wed 22 Oct 2025 14:45:20,1000.,270.,800.,-5.596848329642527,-10.9342759555194
Wed 22 Oct 2025 14:45:49,1000.,280.,800.,-5.554553541215459,-10.94274733976211
Wed 22 Oct 2025 14:46:18,1000.,290.,800.,-5.547475915627695,-10.93116895662362
Wed 22 Oct 2025 14:46:49,1000.,300.,800.,-5.528097902231139,-10.93791960185691
Wed 22 Oct 2025 14:47:16,1000.,400.,800.,-5.539957161746764,-10.94113715169474
Wed 22 Oct 2025 14:47:44,1000.,500.,800.,-5.735936043078275,-10.93486762332906
Wed 22 Oct 2025 14:48:14,1000.,600.,800.,-5.919177416852412,-10.93672784135233
